sounclass_id,species_name,sound_class,scientific_name,freq_low,freq_high
1,黑冠麻鷺,S-01,Gorsachius melanolophus,244,516
6,八色鳥,S-01,Pitta nympha,1326,2416
7,白耳畫眉,C-01,Heterophasia auricularis,2483,6572
9,白耳畫眉,S-01,Heterophasia auricularis,1911,4368
10,燕鴴,C-01,Glareola maldivarum,1217,3652
14,鷹鵑,S-01,Hierococcyx sparverioides,1469,2941
19,北方中杜鵑,S-01,Cuculus optatus,348,673
21,繡眼畫眉,C-02,Alcippe morrisonia,3972,6721
22,繡眼畫眉,S-01,Alcippe morrisonia,2678,6898
28,五色鳥,S-01,Psilopogon nuchalis,739,1272
29,五色鳥,U-01,Psilopogon nuchalis,852,1256
32,翠鳥,U-01,Alcedo atthis,4837,6388
33,小辮鴴,C-01,Vanellus vanellus,1161,4467
39,南亞夜鷹,S-01,Caprimulgus affinis,2374,5472
40,樹鵲,C-01,Dendrocitta formosae,1463,2664
41,樹鵲,C-02,Dendrocitta formosae,1484,2892
54,小卷尾,S-01,Dicrurus aeneus,1616,3841
60,綠畫眉,S-01,Erpornis zantholeuca,5167,7407
65,鵂鶹,C-01,Glaucidium brodiei,831,1204
66,鵂鶹,S-01,Glaucidium brodiei,829,1228
67,小鶯,S-01,Horornis fortipes,1644,5239
72,黑枕藍鶲,S-01,Hypothymis azurea,2107,6373
77,紅嘴黑鵯,S-01,Hypsipetes leucocephalus,2587,5316
84,林鵰,S-01,Ictinaetus malaiensis,1691,2607
85,紅尾伯勞,C-01,Lanius cristatus,2707,7320
88,褐鷹鴞,S-01,Ninox japonica,410,813
93,朱鸝,S-01,Oriolus traillii,447,909
94,蘭嶼角鴞,S-02,Otus elegans,675,1260
95,蘭嶼角鴞,S-01,Otus elegans,569,1029
97,領角鴞,C-01,Otus lettia,4314,10489
98,領角鴞,S-01,Otus lettia,429,1071
99,領角鴞,U,Otus lettia,447,1125
100,黃嘴角鴞,C-01,Otus spilocephalus,1233,1834
101,黃嘴角鴞,S-01,Otus spilocephalus,1358,1748
102,黃嘴角鴞,U-01,Otus spilocephalus,1287,3273
105,大冠鷲,S-01,Spilornis cheela,1285,2048
110,珠頸斑鳩,S-01,Streptopelia chinensis,489,995
111,大赤啄木,C-01,Dendrocopos leucotos,2359,4502
112,大赤啄木,O-01,Dendrocopos leucotos,316,2077
113,褐林鴞,C-01,Strix leptogrammica,568,1778
115,褐林鴞,S-01,Strix leptogrammica,228,582
116,東方灰林鴞,S-01,Strix nivicolum,320,769
118,黃胸藪眉,C-01,Liocichla steerii,2012,6667
122,黃胸藪眉,S-01,Liocichla steerii,2581,5642
123,臺灣山鷓鴣,S-03,Arborophila crudigularis,1525,2367
124,犬,C-01,Canis lupus familiaris,394,940
125,石虎,C-01,Prionailurus bengalensis,0,10000
126,小白鷺,C-01,Egretta garzetta,485,2963
132,栗背林鴝,C-01,Tarsiger johnstoniae,2784,4301
143,小彎嘴,S-02,Pomatorhinus musicus,805,1487
144,小彎嘴,S-03,Pomatorhinus musicus,1551,2844
152,臺灣竹雞,S-01,Bambusicola sonorivox,1269,2967
153,臺灣竹雞,S-02,Bambusicola sonorivox,2537,3548
159,臺灣叢樹鶯,S-01,Locustella alishanensis,2297,3775
167,大彎嘴,S-03,Megapomatorhinus erythrocnemis,1123,2029
182,臺灣噪眉,S-01,Trochalopteron morrisonianum,1988,3393
186,黃山雀,S-01,Machlolophus holsti,2121,6823
198,棕面鶯,S-01,Abroscopus albogularis,4662,4985
199,小雨燕,C-01,Apus nipalensis,3627,6195
207,山紅頭,S-01,Cyanoderma ruficeps,1903,2263
208,小啄木,C-01,Dendrocopos canicapillus,1863,7715
212,深山鶯,C-01,Horornis acanthizoides,3495,8970
213,青背山雀,S-01,Parus monticolus,3560,4643
214,深山鶯,S-01a,Horornis acanthizoides,4870,5636
215,紅頭山雀,C-01,Aegithalos concinnus,5300,8801
223,灰頭鷦鶯,S-01,Prinia flaviventris,2087,8133
228,頭烏線,S-01,Schoeniparus brunneus,2289,3664
232,白眉林鴝,S-01,Tarsiger indicus,2451,4456
235,斯氏繡眼,C-02,Zosterops simplex,3914,6139
238,灰腳秧雞,S-01,Rallina eurizonoides,533,1350
240,中國樹蟾,S-01,Hyla chinensis,1738,5267
244,腹斑蛙,S-01,Babina adenopleura,528,3470
247,長腳赤蛙,S-01,Rana longicrus,771,1767
249,周氏樹蛙,S-01,Buergeria choui,1580,5902
251,艾氏樹蛙,S-01,Kurixalus eiffingeri,2290,4479
252,面天樹蛙,S-01,Kurixalus idiootocus,2188,2521
258,臺北樹蛙,S-01,Rhacophorus taipeianus,1130,2175
262,虎皮蛙,S-01,Hoplobatrachus rugulosus,435,2504
263,貢德氏赤蛙,S-01,Hylarana guentheri,162,3660
264,小雨蛙,S-01,Microhyla fissipes,947,4013
266,拉都希氏赤蛙,S-01,Hylarana latouchii,643,3674
268,斯文豪氏赤蛙,S-01,Odorrana swinhoana,1472,6025
274,布氏樹蛙,S-01,Polypedates braueri,528,4168
278,太田樹蛙,S-01,Buergeria otai,2988,3327
279,臺灣山鷓鴣,S-01,Arborophila crudigularis,991,1940
280,臺灣山鷓鴣,S-02,Arborophila crudigularis,1246,1682
283,白面鼯鼠,S-01,Petaurista alborufus,981,4110
286,鷹斑鷸,C-01,Tringa glareola,2795,4379
290,鳳頭蒼鷹,S-01,Accipiter trivirgatus,2898,4389
292,長吻松鼠,C-01,Dremomys pernyi,958,7034
294,領角鴞,S-02,Otus lettia,416,1373
297,松雀鷹,C-01,Accipiter virgatus,3059,4270
298,藍腹鷴,U-01,Lophura swinhoii,537,1436
299,藍腹鷴,U-02,Lophura swinhoii,2363,7571
300,黑長尾雉,U-01,Syrmaticus mikado,322,1374
307,白腹秧雞,S-01,Amaurornis phoenicurus,699,1243
308,白腹秧雞,S-02,Amaurornis phoenicurus,682,1108
313,紅冠水雞,C-01,Gallinula chloropus,1072,3558
314,灰林鴿,S-01,Columba pulchricollis,141,457
315,金背鳩,S-01,Streptopelia orientalis,298,606
316,紅鳩,S-01,Streptopelia tranquebarica,368,654
317,翠翼鳩,S-01,Chalcophaps indica,332,552
320,綠鳩,S-01,Treron sieboldii,650,1044
323,番鵑,S-01,Centropus bengalensis,622,1135
324,冠羽畫眉,S-01,Yuhina brunneiceps,2063,5036
325,綠啄木,S-01,Picus canus,1950,2555
326,綠啄木,O-01,Picus canus,415,2156
333,洋燕,C-01,Hirundo tahitica,2041,6851
335,赤腰燕,C-01,Cecropis striolata,2493,4521
338,白環鸚嘴鵯,S-01,Spizixos semitorques,1700,4056
340,白頭翁,S-01,Pycnonotus sinensis,1469,3704
342,白頭翁,C-01,Pycnonotus sinensis,1697,4357
347,棕背伯勞,C-01,Lanius schach,1533,5212
349,河烏,C-01,Cinclus pallasii,3680,5231
351,鷦鷯,S-01,Troglodytes troglodytes,3435,8501
354,岩鷚,C-01,Prunella collaris,2698,4903
357,鉛色水鶇,S-01,Phoenicurus fuliginosus,3138,7801
361,白尾鴝,S-01,Cinclidium leucurum,2913,4919
362,白尾鴝,C-01,Cinclidium leucurum,4279,4652
365,黃胸青鶲,S-01,Ficedula hyperythra,5123,7845
367,黃腹琉璃,S-01,Niltava vivida,3124,5400
369,臺灣紫嘯鶇,C-01,Myophonus insularis,3095,5808
373,白頭鶇,C-01,Turdus niveiceps,1496,2847
374,小翼鶇,S-01,Brachypteryx goodfellowi,1493,5817
375,褐頭花翼,S-01,Fulvetta formosana,4043,6502
378,煤山雀,S-01,Periparus ater,3848,6519
381,草鴞,C-01,Tyto longimembris,1723,2524
382,智人,rooster,Homo sapiens,515,1053
383,白鶺鴒,C-01,Motacilla alba,3184,7223
386,粉紅鸚嘴,C-02,Sinosuthora webbiana,3634,5048
387,黃羽鸚嘴,C-01,Suthora verreauxi,3693,6468
396,棕噪眉,S-01,Ianthocincla poecilorhyncha,1402,2242
401,紋翼畫眉,C-01,Actinodura morrisoniana,2748,8696
402,紋翼畫眉,U-01,Actinodura morrisoniana,2189,2981
410,棕扇尾鶯,S-01,Cisticola juncidis,4490,4862
412,黃頭扇尾鶯,S-01a,Cisticola exilis,1466,7798
416,斑紋鷦鶯,S-01,Prinia crinigera,2882,7510
419,褐頭鷦鶯,S-01,Prinia inornata,3629,5832
422,火冠戴菊鳥,S-01,Regulus goodfellowi,7659,10162
430,赤腹山雀,S-01,Sittiparus castaneoventris,5802,8258
431,赤腹山雀,C-01,Sittiparus castaneoventris,6124,8740
432,茶腹鳾,S-01,Sitta europaea,2703,3807
437,茶腹鳾,C-03,Sitta europaea,6161,9494
438,綠啄花,S-01,Dicaeum minullum,5703,8000
441,紅胸啄花,S-01,Dicaeum ignipectus,4697,8712
446,臺灣朱雀,C-01,Carpodacus formosanus,5549,6701
448,褐鷽,S-01,Pyrrhula nipalensis,2161,4637
451,灰鷽,C-01,Pyrrhula erythaca,2286,3003
456,臺灣野山羊,C-01,Capricornis swinhoei,1382,3798
457,大赤鼯鼠,C-03,Petaurista philippensis,465,1646
459,麻雀,C-01,Passer montanus,3094,6005
463,黃鸝,S-01,Oriolus chinensis,1085,2553
465,大卷尾,S-01,Dicrurus macrocercus,1715,4645
466,綠啄木,C-01,Picus canus,1288,2168
