sounclass_id,species_name,sound_class,scientific_name,freq_low,freq_high
1,黑冠麻鷺,S-01,Gorsachius melanolophus,244,515
6,八色鳥,S-01,Pitta nympha,1337,2233
7,白耳畫眉,C-01,Heterophasia auricularis,2269,6831
8,白耳畫眉,C-02,Heterophasia auricularis,5122,8524
9,白耳畫眉,S-01,Heterophasia auricularis,1898,4377
10,燕鴴,C-01,Glareola maldivarum,1217,3652
11,黃眉柳鶯,C-01,Phylloscopus inornatus,4261,7204
12,黃眉柳鶯,S-01,Phylloscopus inornatus,3943,9039
14,鷹鵑,S-01,Hierococcyx sparverioides,1478,2594
15,鷹鵑,U-01,Hierococcyx sparverioides,1362,2212
18,北方中杜鵑,C-03,Cuculus optatus,974,2680
19,北方中杜鵑,S-01,Cuculus optatus,352,671
20,繡眼畫眉,C-01,Alcippe morrisonia,3475,7027
21,繡眼畫眉,C-02,Alcippe morrisonia,4158,5780
22,繡眼畫眉,S-01,Alcippe morrisonia,2659,6641
23,煤山雀,C-04,Periparus ater,3105,7852
28,五色鳥,S-01,Psilopogon nuchalis,738,1273
29,五色鳥,U-01,Psilopogon nuchalis,869,1255
30,青背山雀,S-03,Parus monticolus,2374,6441
32,翠鳥,U-01,Alcedo atthis,4837,6388
33,小辮鴴,C-01,Vanellus vanellus,1161,4467
35,野鴝,C-03,Calliope calliope,2362,4233
37,棕背伯勞,C-02,Lanius schach,1939,4746
39,南亞夜鷹,S-01,Caprimulgus affinis,2371,5465
40,樹鵲,C-01,Dendrocitta formosae,1401,2833
41,樹鵲,C-02,Dendrocitta formosae,1443,2852
44,梭德氏赤蛙,S-02,Rana sauteri,604,2333
46,斑腿樹蛙,S-02,Polypedates megacephalus,456,2337
47,斑腿樹蛙,S-03,Polypedates megacephalus,566,2479
51,小卷尾,M-01,Dicrurus aeneus,1418,4624
54,小卷尾,S-01,Dicrurus aeneus,1598,3828
58,綠畫眉,C-01,Erpornis zantholeuca,2783,7321
60,綠畫眉,S-01,Erpornis zantholeuca,5121,7300
63,噪鵑,S-01,Eudynamys scolopaceus,934,1792
65,鵂鶹,C-01,Taenioptynx brodiei,843,1211
66,鵂鶹,S-01,Taenioptynx brodiei,831,1225
67,小鶯,S-01,Horornis fortipes,1639,5251
71,智人,疑似黑枕藍鶲,Homo sapiens,2492,3451
72,黑枕藍鶲,S-01,Hypothymis azurea,2065,6204
73,黑枕藍鶲,S-02,Hypothymis azurea,4428,7105
76,紅嘴黑鵯,C-01,Hypsipetes leucocephalus,1805,5754
77,紅嘴黑鵯,S-01,Hypsipetes leucocephalus,2658,5650
78,紅嘴黑鵯,U-01,Hypsipetes leucocephalus,2819,4794
84,林鵰,S-01,Ictinaetus malaiensis,1818,2757
85,紅尾伯勞,C-01,Lanius cristatus,1790,10518
86,紅尾伯勞,C-02,Lanius cristatus,1440,4985
88,褐鷹鴞,S-01,Ninox japonica,407,809
93,朱鸝,S-01,Oriolus traillii,447,909
94,蘭嶼角鴞,S-02,Otus elegans,675,1260
95,蘭嶼角鴞,S-01,Otus elegans,569,1029
96,斑紋鷦鶯,C-02,Prinia crinigera,5600,7549
97,領角鴞,C-01,Otus lettia,4314,10489
98,領角鴞,S-01,Otus lettia,414,1044
100,黃嘴角鴞,C-01,Otus spilocephalus,1225,1818
101,黃嘴角鴞,S-01,Otus spilocephalus,1358,1747
102,黃嘴角鴞,U-01,Otus spilocephalus,1246,3252
103,黃尾鴝,C-01,Phoenicurus auroreus,4710,5714
105,大冠鷲,S-01,Spilornis cheela,1312,2095
106,短尾鶯,S-01,Urosphena squameiceps,7062,10051
110,珠頸斑鳩,S-01,Spilopelia chinensis,485,995
111,大赤啄木,C-01,Dendrocopos leucotos,2359,4502
112,大赤啄木,O-01,Dendrocopos leucotos,316,2077
113,褐林鴞,C-01,Strix leptogrammica,568,1778
115,褐林鴞,S-01,Strix leptogrammica,234,576
116,東方灰林鴞,S-01,Strix nivicolum,320,769
118,黃胸藪眉,C-01,Liocichla steerii,2321,5157
120,黃胸藪眉,C-04,Liocichla steerii,1680,2403
121,黃胸藪眉,D-01,Liocichla steerii,3683,5409
122,黃胸藪眉,S-01,Liocichla steerii,2658,5402
123,臺灣山鷓鴣,S-03,Arborophila crudigularis,1527,2384
124,犬,C-01,Canis lupus familiaris,393,1138
125,石虎,C-01,Prionailurus bengalensis,0,10000
126,小白鷺,C-01,Egretta garzetta,485,2963
128,彩鷸,S-01,Rostratula benghalensis,475,813
129,青足鷸,C-01,Tringa nebularia,2116,3153
132,栗背林鴝,C-01,Tarsiger johnstoniae,2784,4301
135,栗背林鴝,S-01,Tarsiger johnstoniae,2341,5619
143,小彎嘴,S-02,Pomatorhinus musicus,844,1476
144,小彎嘴,S-03,Pomatorhinus musicus,1537,2860
145,小彎嘴,S-04,Pomatorhinus musicus,1362,3193
147,小彎嘴,U-01,Pomatorhinus musicus,803,1216
148,臺灣竹雞,C-01,Bambusicola sonorivox,1020,2675
152,臺灣竹雞,S-01,Bambusicola sonorivox,1291,2938
153,臺灣竹雞,S-02,Bambusicola sonorivox,2537,3548
159,臺灣叢樹鶯,S-01,Locustella alishanensis,2370,3678
164,熊鷹,S-01,Nisaetus nipalensis,1670,3471
167,大彎嘴,S-03,Erythrogenys erythrocnemis,1027,1923
176,臺灣噪眉,C-01,Trochalopteron morrisonianum,2118,3405
177,臺灣噪眉,C-02,Trochalopteron morrisonianum,925,7606
178,冠羽畫眉,C-02,Yuhina brunneiceps,4457,7007
182,臺灣噪眉,S-01,Trochalopteron morrisonianum,1969,3341
183,臺灣噪眉,S-02,Trochalopteron morrisonianum,0,10000
186,黃山雀,S-01,Machlolophus holsti,2217,6739
187,斯氏繡眼,C-03,Zosterops simplex,2763,7190
188,智人,Gunshot,Homo sapiens,88,4007
189,黃嘴角鴞,U-02,Otus spilocephalus,2621,3316
198,棕面鶯,S-01,Abroscopus albogularis,4657,4985
199,小雨燕,C-01,Apus nipalensis,3547,6015
202,野鴝,C-01,Calliope calliope,3424,4557
204,山紅頭,C-01,Cyanoderma ruficeps,2563,4614
205,山紅頭,C-02,Cyanoderma ruficeps,2515,9774
207,山紅頭,S-01,Cyanoderma ruficeps,1883,2300
208,小啄木,C-01,Yungipicus canicapillus,2081,5502
212,深山鶯,C-01,Horornis acanthizoides,3501,8953
213,青背山雀,S-01,Parus monticolus,3190,4653
214,深山鶯,S-01a,Horornis acanthizoides,4810,5565
215,紅頭山雀,C-01,Aegithalos concinnus,5458,8915
216,小彎嘴,S-11,Pomatorhinus musicus,1153,2605
219,東方蜂鷹,S-01,Pernis ptilorhynchus,1761,2758
223,灰頭鷦鶯,S-01,Prinia flaviventris,2087,8133
228,頭烏線,S-01,Schoeniparus brunneus,2279,3744
230,白眉林鴝,C-01,Tarsiger indicus,3255,4409
232,白眉林鴝,S-01,Tarsiger indicus,2455,4417
235,斯氏繡眼,C-02,Zosterops simplex,3795,6588
