sounclass_id,species_name,sound_class,scientific_name,freq_low,freq_high
6,八色鳥,S-01,Pitta nympha,1335,2218
124,犬,C-01,Canis lupus familiaris,398,918
199,小雨燕,C-01,Apus nipalensis,3627,6195
228,頭烏線,S-01,Schoeniparus brunneus,2331,3672
235,綠繡眼,Cb,Zosterops japonicus,3835,6392
244,腹斑蛙,S-01,Babina adenopleura,528,3470
280,臺灣山鷓鴣,S-02,Arborophila crudigularis,1246,1682
383,白鶺鴒,Ca-01,Motacilla alba,3184,7223
410,棕扇尾鶯,S-01,Cisticola juncidis,5193,8142
419,褐頭鷦鶯,S-01,Prinia inornata,3629,5832
382,智人,rooster,Homo sapiens,515,1053
381,草鴞,C-01,Tyto longimembris,1699,2448
198,棕面鶯,S-01,Abroscopus albogularis,4655,4998
14,鷹鵑,S-01,Hierococcyx sparverioides,1477,2968
28,五色鳥,S-01,Psilopogon nuchalis,732,1273
29,五色鳥,U,Psilopogon nuchalis,869,1255
39,南亞夜鷹,S-01,Caprimulgus affinis,2374,5472
125,石虎,C-01,Prionailurus bengalensis,0,10000
84,林鵰,S-01,Ictinaetus malaiensis,1725,2618
85,紅尾伯勞,C-01,Lanius cristatus,2189,7632
97,領角鴞,C-01,Otus lettia,4314,10489
98,領角鴞,S-01,Otus lettia,429,1071
99,領角鴞,U,Otus lettia,447,1125
110,珠頸斑鳩,S-01,Streptopelia chinensis,478,1017
113,褐林鴞,C-01,Strix leptogrammica,568,1778
115,褐林鴞,S-01,Strix leptogrammica,228,582
116,東方灰林鴞,S-01,Strix nivicolum,320,769
123,臺灣山鷓鴣,S-03,Arborophila crudigularis,1525,2367
132,栗背林鴝,Ca-01,Tarsiger johnstoniae,2356,4630
143,小彎嘴,S-02,Pomatorhinus musicus,797,1453
167,大彎嘴,S-03,Megapomatorhinus erythrocnemis,1123,2029
292,長吻松鼠,C-01,Dremomys pernyi,958,7034
294,領角鴞,S-02,Otus lettia,416,1373
268,斯文豪氏赤蛙,S-01,Odorrana swinhoana,1420,6267
65,鵂鶹,C-01,Glaucidium brodiei,831,1204
105,大冠鷲,S-01,Spilornis cheela,1285,2047
279,臺灣山鷓鴣,S-01,Arborophila crudigularis,991,1940
283,白面鼯鼠,S-01,Petaurista alborufus,981,4110
286,鷹斑鷸,C-01,Tringa glareola,2795,4379
307,白腹秧雞,Sa-01,Amaurornis phoenicurus,696,1248
308,白腹秧雞,Sb-01,Amaurornis phoenicurus,675,1148
313,紅冠水雞,Ca-01,Gallinula chloropus,1072,3558
314,灰林鴿,S-01,Columba pulchricollis,140,468
323,番鵑,S-01,Centropus bengalensis,622,1135
347,棕背伯勞,C-01,Lanius schach,1533,5212
465,大卷尾,S-01,Dicrurus macrocercus,1720,4656
473,環頸雉,C-01,Phasianus colchicus,936,4546
474,環頸雉,C-02,Phasianus colchicus,777,4429
475,山羌,C-01,Muntiacus reevesi,672,1413
478,小彎嘴,S-06,Pomatorhinus musicus,764,1381
486,智人,Speech_Song,Homo sapiens,160,1247
491,褐鷹鴞,S-02,Ninox japonica,363,967
477,大赤鼯鼠,C-01,Petaurista philippensis,5015,13524
457,大赤鼯鼠,C-03,Petaurista philippensis,452,1566
456,臺灣野山羊,C-01,Capricornis swinhoei,1382,3798
529,疣尾蝎虎,C-01,Hemidactylus frenatus,1611,4952
471,巨嘴鴉,C-01,Corvus macrorhynchos,331,1570
472,黃魚鴞,S-01,Ketupa flavipes,71,423
531,草鴞,C-02,Tyto longimembris,1498,3597
528,褐林鴞,U-01,Strix leptogrammica,221,831
533,黃魚鴞,C-01,Ketupa flavipes,2426,5741
101,黃嘴角鴞,S-01,Otus spilocephalus,1358,1748
100,黃嘴角鴞,C-01,Otus spilocephalus,1233,1834
102,黃嘴角鴞,U-01,Otus spilocephalus,1287,3273
66,鵂鶹,S-01,Glaucidium brodiei,829,1228
238,灰腳秧雞,S-01,Rallina eurizonoides,538,1352
88,褐鷹鴞,S-01,Ninox japonica,410,813
9,白耳畫眉,S-01,Heterophasia auricularis,1932,4411
19,北方中杜鵑,S-01,Cuculus optatus,348,673
547,小鵪鶉,S-01,Synoicus chinensis,1899,3029
548,小鵪鶉,S-02,Synoicus chinensis,2186,3353
549,小鵪鶉,S-03,Synoicus chinensis,940,1528
551,臺灣水鹿,C-01,Rusa unicolor,1143,2633
552,臺灣水鹿,C-02,Rusa unicolor,546,1811
